FID,lon,lat,Mass,Eruption_Start,Eruption_Duration,Last_Eruption,Elevation,FA,SHF,LAB,Curie,Magnetics,Moho,Volcano_Landform,Volcano_Type,Tectonic_Setting,Crustal_Type,Dominant_Rock
195,125.407,2.781,0.0127,20000405,263,2023,1797,52,58,34,17,4,24,3,4,3,2,1
196,125.407,2.781,0.0253,20020422,219,2023,1797,52,58,34,17,4,24,3,4,3,2,1
197,125.407,2.781,0.0032,20020725,71,2023,1797,52,58,34,17,4,24,3,4,3,2,1
198,125.407,2.781,0.00653,20030302,162,2023,1797,52,58,34,17,4,24,3,4,3,2,1
199,125.407,2.781,0.00618,20050205,46,2023,1797,52,58,34,17,4,24,3,4,3,2,1
200,125.407,2.781,0.0325,20060210,334,2023,1797,52,58,34,17,4,24,3,4,3,2,1
201,125.407,2.781,0.005,20100816,64,2023,1797,52,58,34,17,4,24,3,4,3,2,1
202,125.407,2.781,0.0134,20140608,55,2023,1797,52,58,34,17,4,24,3,4,3,2,1
203,125.407,2.781,0.0161,20181124,91,2023,1797,52,58,34,17,4,24,3,4,3,2,1
204,125.407,2.781,0.0176,20190722,66,2023,1797,52,58,34,17,4,24,3,4,3,2,1
205,43.38,-11.75,0.0522,20060528,5,2007,2361,-26,61,94,62,6,14,4,3,1,2,2
206,43.38,-11.75,0.05,20050416,2,2007,2361,-26,61,94,62,6,14,4,3,1,2,2
207,43.38,-11.75,0.05,20051124,14,2007,2361,-26,61,94,62,6,14,4,3,1,2,2
208,43.38,-11.75,0.00029,20070113,1,2007,2361,-26,61,94,62,6,14,4,3,1,2,2
209,-175.508,52.177,0.28,20080807,1,2008,314,174,82,55,27.5,103,19,3,4,3,3,2
210,112.314,-7.935,0.525,20140213,0,2014,1730,111,22,76,34,-31,32,3,4,3,1,1
211,112.314,-7.935,0.126,19900210,0,2014,1730,111,22,76,34,-31,32,3,4,3,1,1
212,112.314,-7.935,0.091,20071103,165,2014,1730,111,22,76,34,-31,32,3,4,3,1,1
213,-155.287,19.421,1.08,19830103,1208,2024,1222,56,36,76,15,-65,15,4,3,1,2,2
214,-155.287,19.421,1.41,19860718,2031,2024,1222,56,36,76,15,-65,15,4,3,1,2,2
215,-155.287,19.421,1.73,19920217,1809,2024,1222,56,36,76,15,-65,15,4,3,1,2,2
216,-155.287,19.421,4.65,19970224,3768,2024,1222,56,36,76,15,-65,15,4,3,1,2,2
217,-155.287,19.421,1.76,20070701,1344,2024,1222,56,36,76,15,-65,15,4,3,1,2,2
218,-155.287,19.421,0.00756,20110305,5,2024,1222,56,36,76,15,-65,15,4,3,1,2,2
219,-155.287,19.421,0.112,20110326,143,2024,1222,56,36,76,15,-65,15,4,3,1,2,2
220,-155.287,19.421,1.56,20110820,2417,2024,1222,56,36,76,15,-65,15,4,3,1,2,2
221,-155.287,19.421,2.24,20180430,97,2024,1222,56,36,76,15,-65,15,4,3,1,2,2
222,130.862,31.934,0.0274,20110126,0,2018,1700,20,0,41,16,-40,33,4,3,3,1,1
223,130.862,31.934,0.00575,20110127,0,2018,1700,20,0,41,16,-40,33,4,3,3,1,1
224,130.862,31.934,0.04,20110128,4,2018,1700,20,0,41,16,-40,33,4,3,3,1,1
